Predicted duration,6.0,,,
Predicted error,0.5,,,
Predicted start,04:22:42,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1
205,[04:21:52.6085955],1073251,96116
206,[04:21:52.6585253],1060445,97422
207,[04:21:52.7086132],1068788,92412
208,[04:21:52.7586684],1048902,91611
209,[04:21:52.8088396],1107865,91765
210,[04:21:52.8587690],1158880,91889
211,[04:21:52.9092538],1085863,95489
212,[04:21:52.9592081],1046665,94768
213,[04:21:53.0089938],1001695,94298
214,[04:21:53.0591700],1095272,93070
215,[04:21:53.1095208],1133763,88561
216,[04:21:53.1593544],1095957,93919
217,[04:21:53.2095524],1092427,93035
218,[04:21:53.2592421],1143384,86367
219,[04:21:53.3096015],1092941,97230
220,[04:21:53.3595870],1091690,93501
221,[04:21:53.4098012],1100333,94106
222,[04:21:53.4598668],1065834,93822
223,[04:21:53.5098632],1094083,93630
224,[04:21:53.5602639],1089157,92005
225,[04:21:53.6103439],1014333,89530
226,[04:21:53.6605152],1095858,93500
227,[04:21:53.7104993],1089743,94200
228,[04:21:53.7604123],1090773,93554
229,[04:21:53.8105486],1060070,88179
230,[04:21:53.8606730],1123767,89823
231,[04:21:53.9108629],1046540,89809
232,[04:21:53.9609757],1028089,88610
233,[04:21:54.0104104],1078113,93139
234,[04:21:54.0606452],1087535,91234
235,[04:21:54.1110191],1054617,89843
236,[04:21:54.1609894],1059816,97628
237,[04:21:54.2111060],1115167,89976
238,[04:21:54.2616378],1099511,89390
239,[04:21:54.3113409],1075371,93758
240,[04:21:54.3612854],1099241,91576
241,[04:21:54.4116471],1087800,92710
242,[04:21:54.4614493],1063326,95032
243,[04:21:54.5114317],1041622,93144
244,[04:21:54.5616928],1065352,90002
245,[04:21:54.6115091],1047133,93507
246,[04:21:54.6615163],1038749,87205
247,[04:21:54.7117460],1067116,88933
248,[04:21:54.7616467],1103422,87276
249,[04:21:54.8119163],1037894,91190
250,[04:21:54.8619262],1126488,90773
251,[04:21:54.9120668],1037093,87444
252,[04:21:54.9621332],1082001,93794
253,[04:21:55.0122197],1029096,93131
254,[04:21:55.0621676],1017795,93273
255,[04:21:55.1123254],1073485,88070
256,[04:21:55.1624757],1029496,88461
257,[04:21:55.2124262],1068433,90170
258,[04:21:55.2627786],1061645,96625
259,[04:21:55.3126545],1078847,87885
260,[04:21:55.3629352],1103762,91738
261,[04:21:55.4126805],1080440,95169
262,[04:21:55.4629867],1047681,95164
263,[04:21:55.5127910],1102515,90772
264,[04:21:55.5629892],1071448,92436
265,[04:21:55.6130549],1049231,93183
266,[04:21:55.6631437],1012734,91429
267,[04:21:55.7132716],1076128,92485
268,[04:21:55.7632872],1108913,90915
269,[04:21:55.8133754],1060956,97983
270,[04:21:55.8634821],986191,92759
