Predicted duration,0.5,,,
Predicted error,6.6,,,
Predicted start,07:01:55,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
184,[07:01:23.7520302],41485,5319367,111602
185,[07:01:23.9034350],41306,5243037,115765
186,[07:01:24.0523353],41949,4484968,115816
187,[07:01:24.2026338],46178,4972083,116364
188,[07:01:24.3523346],45062,5117424,107426
189,[07:01:24.5030039],44133,4839036,122774
190,[07:01:24.6564153],39219,4348052,134321
191,[07:01:24.8033243],37415,5296537,109743
192,[07:01:24.9546088],46595,5332197,92539
193,[07:01:25.1029496],47401,4728847,113681
194,[07:01:25.2528204],42258,4748605,120680
195,[07:01:25.4030450],39959,4701882,98541
196,[07:01:25.5551876],46728,4857528,119273
197,[07:01:25.7037584],40230,5779616,100823
198,[07:01:25.8555257],39525,5278717,102386
199,[07:01:26.0032472],34788,5193671,110091
200,[07:01:26.1537850],45826,4736471,107344
201,[07:01:26.3057903],45832,5098299,137499
202,[07:01:26.4538949],41493,5445218,114279
203,[07:01:26.6061489],39108,4995629,125039
204,[07:01:26.7554479],43630,5311423,113814
205,[07:01:26.9048341],42873,5007048,123452
206,[07:01:27.0538299],38779,4728720,128004
207,[07:01:27.2039549],37897,5049543,129170
208,[07:01:27.3546853],35205,5132441,97824
209,[07:01:27.5048613],44156,5024376,119320
210,[07:01:27.6545867],42168,5543672,105725
211,[07:01:27.8068599],35475,5376918,105013
212,[07:01:27.9558774],38680,5108149,119093
213,[07:01:28.1044200],39875,5154070,98910
214,[07:01:28.2577131],38411,5063144,95746
215,[07:01:28.4071600],34530,4636344,134842
216,[07:01:28.5545753],36809,4822688,125713
217,[07:01:28.7048898],36877,4742500,123443
218,[07:01:28.8549381],39703,5035414,113266
219,[07:01:29.0071339],35748,4854376,107150
220,[07:01:29.1565756],37191,4735353,109197
221,[07:01:29.3058792],37259,4561606,112709
222,[07:01:29.4576032],41303,4861358,108644
223,[07:01:29.6077329],34282,4861731,94988
224,[07:01:29.7554058],38131,5252548,113787
225,[07:01:29.9083654],36126,4652216,101239
226,[07:01:30.0556420],45938,5107717,115654
227,[07:01:30.2061348],39628,5288590,99222
228,[07:01:30.3557264],40029,4798488,123908
229,[07:01:30.5062257],34476,4826345,110402
230,[07:01:30.6581986],27744,5017958,84249
231,[07:01:30.8083629],41570,5033646,100501
232,[07:01:30.9577394],36088,4877626,100772
233,[07:01:31.1070351],38071,5130740,92864
234,[07:01:31.2564984],39088,4972597,101563
235,[07:01:31.4060784],42835,4710469,112272
236,[07:01:31.5567170],30135,4933907,96005
237,[07:01:31.7101540],37482,4593850,121434
238,[07:01:31.8579196],42961,4463298,105017
239,[07:01:32.0069379],36581,5001900,106688
240,[07:01:32.1570288],37241,4853715,116874
241,[07:01:32.3089026],39528,4870906,102317
242,[07:01:32.4565515],44182,4997918,102339
243,[07:01:32.6066386],37035,5254203,108021
244,[07:01:32.7603818],45351,5136794,107231
245,[07:01:32.9080910],38040,5043551,115761
246,[07:01:33.0570076],45425,5025146,119378
247,[07:01:33.2088794],35842,4949909,108468
248,[07:01:33.3570792],38533,4865401,105002
249,[07:01:33.5094795],43671,4764947,111869
250,[07:01:33.6572462],46701,5051308,96834
251,[07:01:33.8074339],34682,5063415,117091
252,[07:01:33.9598276],43629,4994255,123447
253,[07:01:34.1086564],40991,4644015,116179
254,[07:01:34.2591650],32942,5106771,101632
255,[07:01:34.4107871],32300,4747279,98868
256,[07:01:34.5596856],25866,5188590,91138
257,[07:01:34.7078279],33268,4795347,102107
258,[07:01:34.8596905],41454,5072062,104707
259,[07:01:35.0089129],35320,4972529,101119
260,[07:01:35.1610753],30759,4855482,114753
261,[07:01:35.3087846],33145,4884046,92138
262,[07:01:35.4600804],36415,4895496,102135
263,[07:01:35.6104920],45328,5233985,112841
264,[07:01:35.7595892],38586,5144044,117683
265,[07:01:35.9100489],39821,5304124,111903
266,[07:01:36.0594128],40787,5305075,125793
267,[07:01:36.2103522],38536,4779311,105589
268,[07:01:36.3586749],45900,4399391,106740
269,[07:01:36.5090550],48361,4885008,123056
270,[07:01:36.6588468],38941,4829830,115660
271,[07:01:36.8089815],37681,4923251,98770
272,[07:01:36.9618814],43471,5321901,108181
273,[07:01:37.1106757],39342,5073504,101975
274,[07:01:37.2623689],36365,4533230,98935
275,[07:01:37.4094393],39035,4930997,97374
276,[07:01:37.5609059],43281,5181835,125455
277,[07:01:37.7124539],41192,4910592,98023
278,[07:01:37.8595022],35065,5043757,92501
279,[07:01:38.0111526],36521,5085785,100481
280,[07:01:38.1614362],32516,4911673,109803
281,[07:01:38.3096594],35305,4817548,99005
282,[07:01:38.4597902],28685,4523370,95640
283,[07:01:38.6115185],31497,5023236,79093
284,[07:01:38.7640548],39708,5283080,86663
285,[07:01:38.9125099],32010,4852104,88813
286,[07:01:39.0599899],35369,5156393,92410
287,[07:01:39.2119436],39113,4372654,82549
288,[07:01:39.3604416],42389,4746324,86989
289,[07:01:39.5102755],41269,4564054,100080
290,[07:01:39.6624614],33132,4740547,87948
291,[07:01:39.8115956],38012,4697752,101445
292,[07:01:39.9617888],42095,4901098,121775
293,[07:01:40.1106503],48621,4878274,113528
294,[07:01:40.2633688],46686,4696402,108847
295,[07:01:40.4124301],42568,5066307,113309
296,[07:01:40.5607596],39598,4942252,109967
297,[07:01:40.7109721],32358,4596015,99219
298,[07:01:40.8620266],37228,4905252,101065
299,[07:01:41.0133209],38195,4650368,113835
300,[07:01:41.1617528],41864,4953699,119960
301,[07:01:41.3125409],37158,4894525,112542
302,[07:01:41.4632206],39924,4652361,121631
303,[07:01:41.6122634],38807,4935637,110387
304,[07:01:41.7613778],40698,5063326,112508
305,[07:01:41.9116702],43315,5316330,123399
306,[07:01:42.0632346],32087,5229104,111931
307,[07:01:42.2118745],41139,4987943,102889
