Predicted duration,2.1,,,
Predicted error,0.5,,,
Predicted start,05:52:11,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
342,[05:52:06.4950976],28156,144446,219841
343,[05:52:06.6435674],28948,132139,219654
344,[05:52:06.7955032],27017,139194,211927
345,[05:52:06.9433635],29143,128816,196975
346,[05:52:07.0940400],30260,129811,197589
347,[05:52:07.2454876],25578,133295,194051
348,[05:52:07.3939630],30306,134145,210242
349,[05:52:07.5454562],23973,123099,196407
350,[05:52:07.6960949],29114,133027,197748
351,[05:52:07.8447569],20113,128812,205964
352,[05:52:07.9956630],28381,125283,199981
353,[05:52:08.1443170],26235,125683,186727
354,[05:52:08.2946038],25552,119156,185621
355,[05:52:08.4461734],28135,124738,192305
356,[05:52:08.5960754],21832,123977,195288
357,[05:52:08.7460411],28967,132202,200391
358,[05:52:08.8950651],26367,125359,187362
359,[05:52:09.0461881],25355,117050,199913
360,[05:52:09.1945275],23985,122242,188425
361,[05:52:09.3465656],21393,103009,198131
362,[05:52:09.4963659],24594,108838,189373
363,[05:52:09.6462951],20231,115601,167632
364,[05:52:09.7954688],20988,123618,162447
365,[05:52:09.9463827],21566,118022,171633
366,[05:52:10.0967080],20264,127108,177444
367,[05:52:10.2467286],23931,119394,197961
368,[05:52:10.3970790],26277,132617,207153
369,[05:52:10.5456702],31316,144738,195245
370,[05:52:10.6954819],30267,138332,201512
371,[05:52:10.8470647],32479,145419,213260
372,[05:52:10.9968894],31786,146520,211106
373,[05:52:11.1458623],33458,151394,214548
374,[05:52:11.2975694],30641,161642,224257
375,[05:52:11.4460187],32548,159285,229897
376,[05:52:11.5981103],35845,152845,229380
377,[05:52:11.7456147],40460,148608,228426
378,[05:52:11.8967267],27885,142942,225625
379,[05:52:12.0458816],30025,151371,244284
380,[05:52:12.1960752],38057,156316,237610
381,[05:52:12.3482854],34594,161503,245748
382,[05:52:12.4978908],38442,146784,254748
383,[05:52:12.6472188],35269,159124,238563
384,[05:52:12.7964937],39226,167032,245566
385,[05:52:12.9464893],32597,160900,229771
386,[05:52:13.0985647],34748,155250,248569
387,[05:52:13.2465730],34723,168692,240930
388,[05:52:13.3987722],41050,159695,237243
389,[05:52:13.5476751],33619,155194,236271
390,[05:52:13.6969329],39547,154496,232335
391,[05:52:13.8471409],35968,159368,231908
392,[05:52:13.9980654],37430,149444,235512
393,[05:52:14.1479643],36622,171353,233960
394,[05:52:14.2990214],35552,154934,232540
395,[05:52:14.4473013],37088,158137,233462
396,[05:52:14.5976582],31872,171098,230997
397,[05:52:14.7495622],38727,161388,233794
398,[05:52:14.8987018],34531,139241,240165
399,[05:52:15.0491250],33807,148008,227250
400,[05:52:15.1976674],35062,133767,219255
