Predicted duration,0.3,,,
Predicted error,0.2,,,
Predicted start,01:56:11,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
300,[01:54:20.1771411],19923,232381,573616
301,[01:54:20.2073480],17192,260392,535040
302,[01:54:20.2375549],19041,257027,477646
303,[01:54:20.2677618],30625,243829,512907
304,[01:54:20.2979687],26575,262297,582047
305,[01:54:20.3281756],23318,219171,597791
306,[01:54:20.3583824],20292,279227,575917
307,[01:54:20.3885893],22464,281373,459510
308,[01:54:20.4187962],18613,237078,614995
309,[01:54:20.4490031],19608,280611,527517
310,[01:54:20.4792100],22526,247187,562484
311,[01:54:20.5094169],26079,268670,579015
312,[01:54:20.5396237],27138,230632,548199
313,[01:54:20.5698306],24680,264391,599729
314,[01:54:20.6000375],20523,229927,529304
315,[01:54:20.6302444],22367,234105,565452
316,[01:54:20.6604513],26088,256732,590232
317,[01:54:20.6906582],21289,272060,571058
318,[01:54:20.7208650],19761,278318,509402
319,[01:54:20.7510719],22061,244477,550733
320,[01:54:20.7812788],18566,238207,558555
321,[01:54:20.8114857],20272,217451,542938
322,[01:54:20.8416926],23603,250657,528479
323,[01:54:20.8718995],25785,229085,561078
324,[01:54:20.9021056],20884,250160,505307
325,[01:54:20.9323132],18771,238572,619179
326,[01:54:20.9625201],22155,255717,561672
327,[01:54:20.9927270],15478,273453,564317
328,[01:54:21.0229393],21316,236219,577594
329,[01:54:21.0531462],17042,272852,583740
330,[01:54:21.0833530],17807,290503,621926
331,[01:54:21.1135599],24318,230820,573201
332,[01:54:21.1437668],18446,218065,500665
333,[01:54:21.1739737],21007,264255,499337
334,[01:54:21.2041806],24927,249355,581207
335,[01:54:21.2343875],26381,241213,623265
336,[01:54:21.2645944],23116,253616,604573
337,[01:54:21.2948012],18525,226448,557183
338,[01:54:21.3250081],18256,257620,527400
339,[01:54:21.3552150],22314,207444,502585
340,[01:54:21.3854219],24848,236996,478063
341,[01:54:21.4156288],24079,221547,528524
342,[01:54:21.4458357],19665,219468,577680
343,[01:54:21.4760425],12168,264478,544917
344,[01:54:21.5062494],17796,274958,569806
345,[01:54:21.5364563],14229,255838,596666
346,[01:54:21.5666632],23976,260642,574493
347,[01:54:21.5968701],23307,271245,545953
348,[01:54:21.6270770],20979,283615,486493
349,[01:54:21.6572838],22890,244102,599322
350,[01:54:21.6874907],15939,252431,614814
351,[01:54:21.7176976],21159,228472,544958
352,[01:54:21.7479045],25565,288810,523047
353,[01:54:21.7781114],18740,266376,603550
354,[01:54:21.8083183],20979,244255,541727
355,[01:54:21.8385251],17214,203189,545823
356,[01:54:21.8687320],17694,257911,605039
357,[01:54:21.8989389],18825,209605,548556
358,[01:54:21.9291458],19992,236833,537157
359,[01:54:21.9593527],21576,284366,602913
360,[01:54:21.9895596],15764,262890,421971
361,[01:54:22.0197719],21622,233462,486475
362,[01:54:22.0499788],18325,228780,581199
363,[01:54:22.0801857],23384,285348,608751
364,[01:54:22.1103926],23993,285338,540808
365,[01:54:22.1405995],20936,261575,474718
366,[01:54:22.1708064],20225,223611,582828
367,[01:54:22.2010132],28758,243101,562375
368,[01:54:22.2312201],26109,294924,603631
369,[01:54:22.2614270],18367,251094,595064
370,[01:54:22.2916339],20155,220512,632533
371,[01:54:22.3218408],20032,231541,564402
372,[01:54:22.3520477],21446,238669,546186
373,[01:54:22.3822545],16525,238603,602350
374,[01:54:22.4124614],21091,222635,599289
375,[01:54:22.4426683],25483,256883,533469
376,[01:54:22.4728752],25887,250946,514938
377,[01:54:22.5030821],23309,270762,631446
378,[01:54:22.5332890],29786,224758,563920
379,[01:54:22.5634958],23021,192170,512567
380,[01:54:22.5937027],23399,210626,555132
381,[01:54:22.6239096],23154,246557,527954
382,[01:54:22.6541165],22736,268550,570625
383,[01:54:22.6843234],20215,240394,554854
384,[01:54:22.7145303],24742,278841,557382
385,[01:54:22.7447372],19968,267779,535187
386,[01:54:22.7749440],21127,253019,568370
387,[01:54:22.8051509],20996,270591,602103
388,[01:54:22.8353578],16765,230769,578407
389,[01:54:22.8655647],23040,225400,565742
390,[01:54:22.8957716],22143,270600,584661
391,[01:54:22.9259785],26032,235876,566012
392,[01:54:22.9561853],22057,233387,552275
393,[01:54:22.9863922],24816,235986,586693
394,[01:54:23.0166046],25614,283704,596429
395,[01:54:23.0468115],22272,260033,540883
396,[01:54:23.0770184],19759,259655,477968
397,[01:54:23.1072253],16862,262037,499545
398,[01:54:23.1374321],21885,244913,534177
399,[01:54:23.1676390],12749,257440,540981
400,[01:54:23.1978459],22286,259436,543009
401,[01:54:23.2280528],19143,237285,579400
402,[01:54:23.2582597],28318,242100,555813
403,[01:54:23.2884666],18537,258322,582729
404,[01:54:23.3186734],24627,265230,510819
405,[01:54:23.3488803],25700,244904,522243
406,[01:54:23.3790872],20773,245425,642987
407,[01:54:23.4092941],18841,213627,606652
408,[01:54:23.4395010],19963,277555,568396
409,[01:54:23.4697079],23589,247332,555304
410,[01:54:23.4999147],19213,262115,587434
411,[01:54:23.5301216],25511,208291,571030
412,[01:54:23.5603285],22969,237784,583140
413,[01:54:23.5905354],26294,237145,535609
414,[01:54:23.6207423],25291,256176,573124
415,[01:54:23.6509492],22551,265089,542182
416,[01:54:23.6811560],25202,248691,614984
417,[01:54:23.7113629],22385,256028,549746
418,[01:54:23.7415698],22872,240321,567430
419,[01:54:23.7717767],24716,251451,577196
420,[01:54:23.8019836],19039,257854,552190
421,[01:54:23.8321905],26391,232818,525278
422,[01:54:23.8623974],21448,233954,633443
423,[01:54:23.8926042],15814,239489,559012
424,[01:54:23.9228111],25232,248884,572745
425,[01:54:23.9530180],25452,234178,569974
426,[01:54:23.9832249],20647,269615,571602
427,[01:54:24.0134373],16333,240150,633099
428,[01:54:24.0436442],25256,196947,623917
429,[01:54:24.0738510],21615,259471,500161
430,[01:54:24.1040579],20268,246579,463301
431,[01:54:24.1342648],16532,232059,512757
432,[01:54:24.1644717],23104,261077,536648
433,[01:54:24.1946786],18362,237035,542832
434,[01:54:24.2248855],22440,236404,587470
435,[01:54:24.2550923],18106,240224,540223
436,[01:54:24.2852992],21225,243240,541381
437,[01:54:24.3155061],21478,223564,519591
438,[01:54:24.3457130],17720,244172,628386
439,[01:54:24.3759199],24554,247191,536177
440,[01:54:24.4061268],23835,235379,587609
441,[01:54:24.4363336],16346,258776,607830
442,[01:54:24.4665405],18964,253279,528461
443,[01:54:24.4967474],22391,247534,556191
444,[01:54:24.5269543],20027,236725,589084
445,[01:54:24.5571612],18137,280518,537332
446,[01:54:24.5873681],23186,269377,521458
447,[01:54:24.6175749],19935,245524,536851
448,[01:54:24.6477818],21431,290197,568993
449,[01:54:24.6779887],22106,259576,482560
450,[01:54:24.7081956],28210,237140,476951
451,[01:54:24.7384025],20115,264223,555471
452,[01:54:24.7686094],25043,251786,561472
453,[01:54:24.7988162],25184,226369,596241
454,[01:54:24.8290231],27852,284068,627726
455,[01:54:24.8592300],23600,275808,543866
456,[01:54:24.8894369],16838,243952,592159
457,[01:54:24.9196438],23337,252475,551786
458,[01:54:24.9498507],21963,238215,547216
459,[01:54:24.9800616],15325,253681,591740
460,[01:54:25.0102698],15874,266465,513114
461,[01:54:25.0404767],23197,272263,530777
462,[01:54:25.0706836],26352,240903,510026
463,[01:54:25.1008905],25884,246912,597166
464,[01:54:25.1310974],23389,289797,576076
465,[01:54:25.1613042],26111,231446,578406
466,[01:54:25.1915111],13011,243376,495750
467,[01:54:25.2217180],25824,258100,600524
468,[01:54:25.2519249],23771,271626,535372
469,[01:54:25.2821318],27080,298586,482817
470,[01:54:25.3123387],21955,242138,594881
471,[01:54:25.3425452],22189,260576,487886
472,[01:54:25.3727524],22635,267441,541567
473,[01:54:25.4029593],26463,245765,585701
474,[01:54:25.4331662],24001,229702,647905
475,[01:54:25.4633731],24566,270144,550765
476,[01:54:25.4935800],27459,256308,640957
477,[01:54:25.5237869],22953,288941,540860
478,[01:54:25.5539937],30466,251250,536913
479,[01:54:25.5842006],20054,247150,576744
480,[01:54:25.6144075],13912,272603,565457
481,[01:54:25.6446144],21313,269174,516431
482,[01:54:25.6748213],19528,251699,567820
483,[01:54:25.7050282],18859,255058,526749
484,[01:54:25.7352350],17849,256412,533353
485,[01:54:25.7654419],25835,245744,628275
486,[01:54:25.7956488],17843,230888,563982
487,[01:54:25.8258557],18354,234372,552535
488,[01:54:25.8560626],20512,271387,610413
489,[01:54:25.8862695],27374,232237,534861
490,[01:54:25.9164763],17716,235672,558907
491,[01:54:25.9466832],23555,216723,532083
492,[01:54:25.9768901],18117,262993,548470
493,[01:54:26.0071025],23192,260451,500127
494,[01:54:26.0373094],24929,261523,600687
495,[01:54:26.0675163],17768,252299,564169
496,[01:54:26.0977231],27615,260736,542025
497,[01:54:26.1279300],24497,307968,582291
498,[01:54:26.1581369],23902,266533,591563
499,[01:54:26.1883438],25465,243040,598812
500,[01:54:26.2185507],17101,261674,565281
501,[01:54:26.2487576],25156,271858,639255
502,[01:54:26.2789644],19499,268406,571897
503,[01:54:26.3091713],13050,248982,556196
504,[01:54:26.3393782],14517,209040,696173
505,[01:54:26.3695851],21131,252208,608391
506,[01:54:26.3997920],22195,259154,674058
507,[01:54:26.4299989],23829,282944,597097
508,[01:54:26.4602057],15472,222293,536064
509,[01:54:26.4904126],20980,205250,526451
510,[01:54:26.5206195],20709,266876,466807
511,[01:54:26.5508264],18932,265646,576174
512,[01:54:26.5810333],20748,246669,568286
513,[01:54:26.6112402],20703,254996,499937
514,[01:54:26.6414470],24406,247380,547620
515,[01:54:26.6716539],17781,226649,538849
516,[01:54:26.7018608],19363,218869,490013
517,[01:54:26.7320677],20659,270718,556895
518,[01:54:26.7622746],20911,309754,606665
519,[01:54:26.7924815],18354,236315,575954
520,[01:54:26.8226884],21169,249263,552221
521,[01:54:26.8528952],20040,269029,565208
522,[01:54:26.8831021],24521,265449,500735
523,[01:54:26.9133090],19114,254936,513111
524,[01:54:26.9435159],18357,215751,502680
525,[01:54:26.9737228],19258,217724,523721
526,[01:54:27.0039352],21126,234057,546395
527,[01:54:27.0341420],23659,280210,588029
528,[01:54:27.0643489],18019,263625,623035
529,[01:54:27.0945558],16268,232486,584988
530,[01:54:27.1247627],19572,273617,508986
531,[01:54:27.1549696],17403,269407,528416
532,[01:54:27.1851765],18358,285830,519731
533,[01:54:27.2153833],23605,269773,553848
534,[01:54:27.2455902],25351,249738,552779
535,[01:54:27.2757971],21646,250601,599480
536,[01:54:27.3060040],23593,243186,603648
537,[01:54:27.3362109],24409,240302,548779
538,[01:54:27.3664178],27986,295079,567955
539,[01:54:27.3966246],29183,292138,473676
540,[01:54:27.4268315],14551,271382,487056
541,[01:54:27.4570384],20035,269331,511382
542,[01:54:27.4872453],25808,258679,560382
543,[01:54:27.5174522],25867,268107,604222
544,[01:54:27.5476591],15726,232332,563819
545,[01:54:27.5778659],26071,252298,539920
546,[01:54:27.6080728],21719,228598,539495
547,[01:54:27.6382797],25030,280113,577193
548,[01:54:27.6684866],19462,256729,517844
549,[01:54:27.6986935],21252,248279,608639
550,[01:54:27.7289004],13582,253590,597071
551,[01:54:27.7591072],22187,286355,577330
552,[01:54:27.7893141],17530,232038,572532
553,[01:54:27.8195210],21970,270824,542229
554,[01:54:27.8497279],26218,271385,578109
555,[01:54:27.8799348],18282,257622,577247
556,[01:54:27.9101417],21606,243222,565408
557,[01:54:27.9403486],25946,221824,614873
558,[01:54:27.9705554],24323,235840,579055
559,[01:54:28.0007677],17636,279839,613103
560,[01:54:28.0309746],24374,231410,618870
561,[01:54:28.0611815],22671,262856,554639
562,[01:54:28.0913884],21360,249595,574701
563,[01:54:28.1215953],23572,266933,635919
564,[01:54:28.1518021],25314,294937,585126
565,[01:54:28.1820090],24253,291042,529572
566,[01:54:28.2122159],18825,240623,608560
567,[01:54:28.2424228],22563,250984,625775
568,[01:54:28.2726297],22087,256970,552035
569,[01:54:28.3028366],21547,249918,521968
570,[01:54:28.3330434],24595,276357,572524
571,[01:54:28.3632503],17492,248614,589179
572,[01:54:28.3934572],22539,271974,552913
573,[01:54:28.4236641],19897,270844,609041
574,[01:54:28.4538710],20345,221118,599902
575,[01:54:28.4840779],20615,227781,525445
576,[01:54:28.5142847],29494,228189,521374
577,[01:54:28.5444916],23301,247050,576418
578,[01:54:28.5746985],23416,266078,534740
579,[01:54:28.6049054],33161,256070,529891
580,[01:54:28.6351123],19302,282542,518317
581,[01:54:28.6653192],23110,277421,519148
582,[01:54:28.6955260],29129,248654,612155
583,[01:54:28.7257329],19742,255727,580812
584,[01:54:28.7559398],22960,260803,579668
585,[01:54:28.7861467],21513,233251,503477
586,[01:54:28.8163536],16160,242435,526873
587,[01:54:28.8465605],20722,244913,566318
588,[01:54:28.8767673],21485,224978,532254
589,[01:54:28.9069742],26985,227726,518572
590,[01:54:28.9371811],20364,256696,553955
591,[01:54:28.9673880],25514,271358,540725
592,[01:54:28.9975949],24684,233596,556728
593,[01:54:29.0278073],25060,281324,591650
594,[01:54:29.0580141],18390,274114,463466
595,[01:54:29.0882210],20866,270013,530804
596,[01:54:29.1184279],25466,239301,586544
597,[01:54:29.1486348],19664,244809,589973
598,[01:54:29.1788417],16227,290167,500054
599,[01:54:29.2090486],27651,234250,587142
600,[01:54:29.2392555],18853,276329,605202
601,[01:54:29.2694623],24440,253394,531680
602,[01:54:29.2996692],19491,254311,537868
603,[01:54:29.3298761],23279,225080,595453
604,[01:54:29.3600830],24461,284136,554993
605,[01:54:29.3902899],22214,267919,609701
606,[01:54:29.4204968],22889,239817,613891
607,[01:54:29.4507036],19848,247836,507196
608,[01:54:29.4809105],18039,241842,496176
609,[01:54:29.5111174],14959,263299,557838
610,[01:54:29.5413243],23222,301038,542689
611,[01:54:29.5715312],25208,245023,587405
612,[01:54:29.6017381],17166,211276,632998
613,[01:54:29.6319449],26775,259109,645018
614,[01:54:29.6621518],22424,268146,545161
615,[01:54:29.6923587],14487,251837,515774
616,[01:54:29.7225656],26403,267459,568484
617,[01:54:29.7527725],25074,259370,549808
618,[01:54:29.7829794],28347,210140,532259
619,[01:54:29.8131862],22275,202999,510112
620,[01:54:29.8433931],24281,273060,564630
621,[01:54:29.8736000],22671,244622,582930
622,[01:54:29.9038069],11983,266156,590534
