Predicted duration,5.0,,,
Predicted error,3.8,,,
Predicted start,04:57:35,,,
Notes,starts from frame 92,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
363,[04:58:07.8320142],494,6178,32396
364,[04:58:08.2316389],646,10156,14127
365,[04:58:08.6317771],855,7667,21898
366,[04:58:09.0318681],606,3341,22232
367,[04:58:09.4320834],1188,4488,38362
368,[04:58:09.8319890],1178,13444,34882
369,[04:58:10.2319871],925,9170,36408
370,[04:58:10.6321671],928,6562,34696
371,[04:58:11.0321852],136,5343,34056
372,[04:58:11.4315526],906,7787,40090
373,[04:58:11.8322213],712,10864,113851
374,[04:58:12.2316548],312,13078,52704
375,[04:58:12.6328645],404,9907,72773
376,[04:58:13.0328930],81,11413,34219
377,[04:58:13.4318209],81,7762,31720
378,[04:58:13.8329004],1049,7575,22998
379,[04:58:14.2333263],1291,4862,16019
380,[04:58:14.6332247],757,5893,17550
381,[04:58:15.0322048],-168,4234,15641
382,[04:58:15.4330307],629,4899,23668
383,[04:58:15.8332209],139,4919,28913
384,[04:58:16.2331240],569,8650,35085
385,[04:58:16.6329134],832,6247,34927
386,[04:58:17.0333735],232,6336,40599
387,[04:58:17.4337379],290,9743,37749
388,[04:58:17.8335310],274,10513,34174
389,[04:58:18.2338917],1292,13536,33127
390,[04:58:18.6336403],19,8646,37261
391,[04:58:19.0341291],929,9707,50396
392,[04:58:19.4339055],982,9055,32797
393,[04:58:19.8344425],-250,5501,25322
394,[04:58:20.2346754],267,6287,38959
395,[04:58:20.6344874],266,4873,20003
396,[04:58:21.0348571],877,1308,27448
397,[04:58:21.4343746],444,3559,32522
398,[04:58:21.8343824],1107,5054,22291
399,[04:58:22.2347661],-92,5437,25507
400,[04:58:22.6344032],361,5405,31551
401,[04:58:23.0350807],695,5389,33154
402,[04:58:23.4346079],1758,5845,29009
403,[04:58:23.8348175],672,6432,22684
404,[04:58:24.2352052],-116,3999,13006
405,[04:58:24.6352621],74,4583,17004
406,[04:58:25.0358882],1070,2364,11682
407,[04:58:25.4352778],-230,2288,10036
408,[04:58:25.8354527],968,3630,23971
409,[04:58:26.2353569],543,4529,19068
410,[04:58:26.6360574],337,3154,9864
411,[04:58:27.0345119],-399,5092,16814
412,[04:58:27.4354164],-157,3368,23837
413,[04:58:27.8358247],651,5730,59065
414,[04:58:28.2359382],1423,8587,11641
415,[04:58:28.6356282],1446,9546,12597
416,[04:58:29.0347748],765,7512,30943
417,[04:58:29.4362605],601,6019,17958
418,[04:58:29.8349941],1839,6990,79113
419,[04:58:30.2362066],1262,14123,100625
420,[04:58:30.6359529],944,14328,94912
421,[04:58:31.0366621],1303,13696,110127
422,[04:58:31.4361582],739,10375,140373
423,[04:58:31.8366301],609,17082,126105
424,[04:58:32.2365582],1754,11888,37521
425,[04:58:32.6364262],874,8259,31426
