Predicted duration,1.4,,,
Predicted error,5.9,,,
Predicted start,00:48:20,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
410,[00:47:03.9269920],55,73,76
411,[00:47:04.0257890],70,70,57
412,[00:47:04.1274255],38,42,63
413,[00:47:04.2271959],70,67,67
414,[00:47:04.3259824],71,66,70
415,[00:47:04.4262665],69,76,51
416,[00:47:04.5269746],31,41,62
417,[00:47:04.6284977],58,64,53
418,[00:47:04.7269821],49,76,64
419,[00:47:04.8275881],60,84,64
420,[00:47:04.9267227],71,58,67
421,[00:47:05.0278553],64,53,62
422,[00:47:05.1280523],73,79,47
423,[00:47:05.2273172],61,82,63
424,[00:47:05.3270802],61,31,65
425,[00:47:05.4284714],57,75,65
426,[00:47:05.5282944],72,82,74
427,[00:47:05.6277997],53,73,67
428,[00:47:05.7286314],52,80,73
429,[00:47:05.8276773],70,75,28
430,[00:47:05.9283729],63,77,38
431,[00:47:06.0272922],45,72,52
432,[00:47:06.1273657],68,31,44
433,[00:47:06.2281115],49,35,34
434,[00:47:06.3275021],57,79,51
435,[00:47:06.4302645],69,66,60
436,[00:47:06.5281571],61,53,62
437,[00:47:06.6282304],62,61,54
438,[00:47:06.7278970],58,61,58
439,[00:47:06.8291957],53,75,28
440,[00:47:06.9294654],63,35,54
441,[00:47:07.0285101],62,64,44
442,[00:47:07.1299152],41,43,44
443,[00:47:07.2283746],67,86,41
444,[00:47:07.3286506],62,58,56
445,[00:47:07.4286385],47,69,55
446,[00:47:07.5283847],65,74,58
447,[00:47:07.6290682],73,55,61
448,[00:47:07.7311794],48,57,40
449,[00:47:07.8287146],48,64,55
450,[00:47:07.9289675],68,59,55
451,[00:47:08.0298183],67,75,46
452,[00:47:08.1305699],59,68,72
453,[00:47:08.2291333],69,35,59
454,[00:47:08.3304237],70,83,48
455,[00:47:08.4292450],71,79,60
456,[00:47:08.5292111],78,44,61
457,[00:47:08.6313163],57,64,62
458,[00:47:08.7306688],44,40,51
459,[00:47:08.8300238],66,44,51
460,[00:47:08.9299637],55,73,63
461,[00:47:09.0306645],52,70,71
462,[00:47:09.1296945],57,69,66
463,[00:47:09.2309600],61,69,47
464,[00:47:09.3304406],66,81,50
465,[00:47:09.4301981],74,61,67
466,[00:47:09.5301279],77,72,79
467,[00:47:09.6303129],76,73,43
468,[00:47:09.7303922],69,62,53
469,[00:47:09.8301472],74,66,52
470,[00:47:09.9306485],64,43,39
471,[00:47:10.0308653],65,30,61
472,[00:47:10.1308769],53,51,35
473,[00:47:10.2305094],59,75,49
474,[00:47:10.3317856],82,83,48
475,[00:47:10.4306835],62,70,59
476,[00:47:10.5318030],60,69,62
477,[00:47:10.6309583],55,31,71
478,[00:47:10.7313642],39,81,55
479,[00:47:10.8312645],46,82,55
480,[00:47:10.9311153],42,68,56
481,[00:47:11.0310656],46,67,60
482,[00:47:11.1312373],46,62,43
483,[00:47:11.2325590],45,66,55
484,[00:47:11.3313671],49,66,53
485,[00:47:11.4315423],62,59,40
486,[00:47:11.5315247],55,29,55
487,[00:47:11.6330169],53,31,53
488,[00:47:11.7317158],57,61,64
489,[00:47:11.8328094],67,72,66
490,[00:47:11.9319485],66,74,62
491,[00:47:12.0319192],73,57,54
492,[00:47:12.1320420],73,31,29
493,[00:47:12.2329060],59,71,60
494,[00:47:12.3321334],50,61,53
495,[00:47:12.4322471],57,60,62
496,[00:47:12.5339988],63,69,47
