Predicted duration,0.6,,,
Predicted error,1.8,,,
Predicted start,00:57:44,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
255,[00:57:00.0690203],8357,57383,32438
256,[00:57:00.1442421],10493,51995,34207
257,[00:57:00.2191396],9201,47175,32413
258,[00:57:00.2942300],10228,53940,29483
259,[00:57:00.3700262],10377,46701,32706
260,[00:57:00.4448059],9814,51280,31183
261,[00:57:00.5192752],9441,48252,28045
262,[00:57:00.5945823],10265,53610,32666
263,[00:57:00.6696540],10148,50827,31596
264,[00:57:00.7446373],8068,46640,31548
265,[00:57:00.8196061],11185,52911,30779
266,[00:57:00.8951314],11691,54622,30367
267,[00:57:00.9699548],9581,52323,32710
268,[00:57:01.0451097],8685,48449,32846
269,[00:57:01.1203188],13332,49171,33374
270,[00:57:01.1961274],6357,51417,35668
271,[00:57:01.2702840],8756,49778,34824
272,[00:57:01.3459852],10136,53166,32086
273,[00:57:01.4205419],10108,51626,31428
274,[00:57:01.4954092],12944,51229,30787
275,[00:57:01.5706517],9960,48178,32355
276,[00:57:01.6457279],9496,53066,35383
277,[00:57:01.7207054],9363,46384,31035
278,[00:57:01.7959810],8303,52693,32738
279,[00:57:01.8707164],8902,53197,30680
280,[00:57:01.9468351],12507,48457,33213
281,[00:57:02.0211190],13457,52214,30300
282,[00:57:02.0967113],13935,57632,33018
283,[00:57:02.1723330],11665,50912,32663
284,[00:57:02.2470441],11768,50410,36903
285,[00:57:02.3216709],8899,51337,31252
286,[00:57:02.3967052],9743,53102,31607
287,[00:57:02.4713787],9134,56485,30459
288,[00:57:02.5467599],9464,49403,33963
289,[00:57:02.6219330],9425,47997,35147
290,[00:57:02.6974719],8982,49326,31562
291,[00:57:02.7725811],8784,50482,33967
292,[00:57:02.8474180],12529,53565,28640
293,[00:57:02.9218582],13339,53481,31844
294,[00:57:02.9974314],10422,50136,34635
295,[00:57:03.0721972],8827,55483,30735
296,[00:57:03.1469501],13591,51261,33789
297,[00:57:03.2225852],9434,53859,32064
298,[00:57:03.2990983],8762,49688,35350
299,[00:57:03.3727435],9873,49785,29858
300,[00:57:03.4474410],11556,54750,32939
301,[00:57:03.5224484],12595,56237,34377
302,[00:57:03.5976402],10992,51158,28674
303,[00:57:03.6726203],13376,49773,32339
304,[00:57:03.7477061],9495,58193,29740
305,[00:57:03.8229316],9105,57043,29740
306,[00:57:03.8987724],9816,56963,35663
307,[00:57:03.9730369],10680,56378,30739
308,[00:57:04.0499008],11015,53360,28964
309,[00:57:04.1237820],7584,47954,32056
310,[00:57:04.1988102],11043,47700,29042
311,[00:57:04.2731831],10720,48832,32839
312,[00:57:04.3483018],7290,51425,36312
313,[00:57:04.4240983],14239,44401,33081
314,[00:57:04.4986019],10109,44970,30202
315,[00:57:04.5737713],12035,51438,29252
316,[00:57:04.6494953],11282,53774,33713
317,[00:57:04.7239301],9501,52829,30571
318,[00:57:04.7988743],9060,54796,34389
319,[00:57:04.8740444],10353,51205,30448
320,[00:57:04.9493418],10923,50694,31727
321,[00:57:05.0241784],9721,49156,31150
322,[00:57:05.1000427],12328,45778,34064
323,[00:57:05.1747515],9581,54801,35786
324,[00:57:05.2509677],10019,49655,32618
325,[00:57:05.3245936],9277,47947,32964
326,[00:57:05.3994843],10460,50699,34564
327,[00:57:05.4746288],9897,50020,38004
328,[00:57:05.5499254],10393,52814,38585
329,[00:57:05.6271923],9355,59867,32180
330,[00:57:05.7006190],9291,46288,34528
331,[00:57:05.7789493],13159,48301,32378
332,[00:57:05.8503534],9011,50286,30978
333,[00:57:05.9255697],8613,50422,31332
334,[00:57:06.0010879],10948,46535,32554
335,[00:57:06.0750428],7659,45064,33647
336,[00:57:06.1503785],9488,51243,31350
337,[00:57:06.2259591],9803,46105,31509
338,[00:57:06.3011528],11557,52927,29957
339,[00:57:06.3772559],8339,53239,26170
340,[00:57:06.4506188],11793,43949,37415
341,[00:57:06.5259445],10283,53021,33916
342,[00:57:06.6008758],8737,48334,33752
343,[00:57:06.6754550],9344,45801,31662
344,[00:57:06.7505937],11619,53041,30428
345,[00:57:06.8268803],11718,47670,29092
346,[00:57:06.9010512],9960,51847,35911
347,[00:57:06.9762555],9029,46603,36016
348,[00:57:07.0510453],8829,47992,30393
349,[00:57:07.1265433],14169,50285,34707
350,[00:57:07.2013774],10916,48906,33165
351,[00:57:07.2768986],11791,42321,32529
352,[00:57:07.3519824],9926,50770,31679
353,[00:57:07.4265488],7924,52345,33191
354,[00:57:07.5019041],8396,55036,33695
355,[00:57:07.5765191],8305,54284,33380
356,[00:57:07.6515980],9891,54598,34257
357,[00:57:07.7265715],11598,52131,31036
358,[00:57:07.8018928],6806,57692,31324
359,[00:57:07.8767488],9150,55706,31004
360,[00:57:07.9529376],8689,46650,32551
361,[00:57:08.0269685],8539,52923,34406
362,[00:57:08.1026372],10639,55151,30903
363,[00:57:08.1771748],12790,45007,29952
364,[00:57:08.2526783],8231,53785,32561
365,[00:57:08.3279029],7833,47850,31722
366,[00:57:08.4024412],10904,53827,33162
367,[00:57:08.4778140],12397,53014,31659
368,[00:57:08.5528761],9715,47933,31974
369,[00:57:08.6276058],12768,49389,31992
370,[00:57:08.7035218],9078,50275,26177
371,[00:57:08.7778805],10895,53481,29130
372,[00:57:08.8529947],13243,45674,29653
373,[00:57:08.9277952],6532,48130,31891
374,[00:57:09.0034380],10045,53314,27957
375,[00:57:09.0780478],11027,48857,30232
376,[00:57:09.1537511],11063,53956,31231
377,[00:57:09.2290687],9780,49323,30578
378,[00:57:09.3043497],9302,53316,32603
379,[00:57:09.3796584],9093,50678,28870
380,[00:57:09.4544066],10823,51377,31931
381,[00:57:09.5292212],9941,50582,35641
382,[00:57:09.6043533],11842,51973,32348
383,[00:57:09.6784709],10400,50063,34618
384,[00:57:09.7544987],12164,52955,30474
385,[00:57:09.8308940],9496,59588,32101
386,[00:57:09.9052507],10916,48157,31116
387,[00:57:09.9794538],10243,55385,32007
388,[00:57:10.0540872],8713,54747,35146
389,[00:57:10.1294906],10202,51409,33426
390,[00:57:10.2044041],10366,54717,35837
391,[00:57:10.2792737],10371,53144,31969
392,[00:57:10.3544843],12245,48212,30469
393,[00:57:10.4296265],10471,52006,30502
394,[00:57:10.5049305],10778,49163,30737
395,[00:57:10.5799433],9364,50731,31003
396,[00:57:10.6550961],8721,51671,31173
397,[00:57:10.7295696],10569,54021,27798
398,[00:57:10.8047933],10787,55839,30780
399,[00:57:10.8799562],9012,55265,35443
400,[00:57:10.9551111],11402,41707,28687
401,[00:57:11.0301461],11934,54705,30360
402,[00:57:11.1053594],9192,50330,31823
403,[00:57:11.1801201],8577,50201,27949
404,[00:57:11.2562296],7681,47204,28761
405,[00:57:11.3303989],8248,54459,29534
406,[00:57:11.4058929],7317,51645,30043
407,[00:57:11.4804702],11394,47274,28877
408,[00:57:11.5555607],9110,50624,31024
409,[00:57:11.6311992],8844,49515,30612
410,[00:57:11.7057139],9970,55244,29910
411,[00:57:11.7812198],12075,48921,28459
412,[00:57:11.8558930],10918,50936,30547
413,[00:57:11.9308720],6192,54111,28920
414,[00:57:12.0061533],10381,54669,27728
415,[00:57:12.0813318],9129,53715,29146
