Predicted duration,14.6,,,
Predicted error,1.2,,,
Predicted start,01:44:06,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
574,[01:44:04.8997137],17826,18956,9895
575,[01:44:04.9508319],18620,24326,7287
576,[01:44:05.0005049],17962,25418,9138
577,[01:44:05.0507003],18430,25815,8887
578,[01:44:05.1009094],17370,22220,9273
579,[01:44:05.1504596],19159,24970,5729
580,[01:44:05.2001416],13165,17881,7626
581,[01:44:05.2502430],17034,18307,7080
582,[01:44:05.3011180],18691,19334,7969
583,[01:44:05.3520611],15452,18132,8560
584,[01:44:05.4004397],17249,22758,7737
585,[01:44:05.4503226],16256,21958,6725
586,[01:44:05.5004793],17031,23451,7181
587,[01:44:05.5507098],17877,23302,7562
588,[01:44:05.6008009],19354,22675,9209
589,[01:44:05.6511479],17414,16630,10936
590,[01:44:05.7009504],15979,18413,5562
591,[01:44:05.7512143],16168,21838,7509
592,[01:44:05.8011918],16794,24241,9619
593,[01:44:05.8535034],14427,24886,6357
594,[01:44:05.9014421],15135,18131,9176
595,[01:44:05.9513313],19655,23037,9208
596,[01:44:06.0015393],15224,23978,9450
597,[01:44:06.0519476],15334,18212,8065
598,[01:44:06.1020905],14942,17638,6016
599,[01:44:06.1516408],17815,20923,11063
600,[01:44:06.2017059],17194,24413,8334
601,[01:44:06.2518454],17246,20333,9257
602,[01:44:06.3021545],17593,24507,10671
603,[01:44:06.3518191],20084,26451,8587
604,[01:44:06.4020015],18947,26340,10286
605,[01:44:06.4523460],16273,26095,8121
606,[01:44:06.5022763],18514,20963,12188
607,[01:44:06.5524511],18288,23278,12663
608,[01:44:06.6026267],20223,20979,12021
609,[01:44:06.6523567],20941,22753,11418
610,[01:44:06.7022542],19874,21832,11541
611,[01:44:06.7523853],18343,23680,10760
612,[01:44:06.8030039],20813,24959,8372
613,[01:44:06.8527662],16634,25823,8915
614,[01:44:06.9027479],22646,26386,10986
615,[01:44:06.9527050],20112,24617,7879
616,[01:44:07.0027489],15189,22403,9262
617,[01:44:07.0528107],18607,22752,4394
618,[01:44:07.1032448],19933,22461,9680
619,[01:44:07.1532581],17588,24052,11442
620,[01:44:07.2050586],19635,23162,8778
621,[01:44:07.2531102],15474,23508,7613
622,[01:44:07.3039816],17576,28126,11732
623,[01:44:07.3535508],16965,27061,6741
624,[01:44:07.4036319],20701,20484,11060
