Predicted duration,5.0,,,
Predicted error,3.8,,,
Predicted start,04:57:35,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
189,[04:56:14.0834974],8256,237959,129747
190,[04:56:14.2335918],10643,265994,114137
191,[04:56:14.3836862],8555,245676,112754
192,[04:56:14.5337807],11862,347088,117174
193,[04:56:14.6838751],9789,246695,80255
194,[04:56:14.8339695],12539,345162,92082
195,[04:56:14.9840639],6194,286622,92511
196,[04:56:15.1341583],5234,295572,134674
197,[04:56:15.2842527],7513,416767,153166
198,[04:56:15.4343471],3117,362925,118451
199,[04:56:15.5844415],4357,348271,151160
200,[04:56:15.7345359],6665,296915,118799
201,[04:56:15.8846303],11374,350437,91551
202,[04:56:16.0347246],10091,290276,106185
203,[04:56:16.1848190],7653,408126,113973
204,[04:56:16.3349134],7899,331562,155965
205,[04:56:16.4850078],11904,303760,99901
206,[04:56:16.6351022],8796,332323,102599
207,[04:56:16.7851966],4110,347969,139355
208,[04:56:16.9352910],7361,302175,110016
209,[04:56:17.0853853],8589,332183,130877
210,[04:56:17.2354797],7728,312565,139198
211,[04:56:17.3855741],8765,334328,79845
212,[04:56:17.5356685],7362,348073,111140
213,[04:56:17.6857629],7773,342623,176034
214,[04:56:17.8358573],9678,359532,94281
215,[04:56:17.9859517],8774,272270,173547
216,[04:56:18.1360460],6043,282002,150846
217,[04:56:18.2861404],9285,371789,130482
218,[04:56:18.4362348],7421,213072,108749
219,[04:56:18.5863292],6475,208909,119403
220,[04:56:18.7364237],5991,249879,98910
221,[04:56:18.8865181],10248,285868,124390
222,[04:56:19.0366125],6670,311223,84640
223,[04:56:19.1867069],7423,314753,76929
224,[04:56:19.3368013],5471,438550,120712
225,[04:56:19.4868957],5513,345106,93938
226,[04:56:19.6369901],6281,359208,127233
227,[04:56:19.7870845],6536,325431,135863
228,[04:56:19.9371789],6754,276391,135592
229,[04:56:20.0872732],8296,311779,166284
230,[04:56:20.2373676],3670,268351,118892
231,[04:56:20.3874620],9963,322414,86718
232,[04:56:20.5375564],9511,321522,157984
233,[04:56:20.6876508],9868,275103,87559
234,[04:56:20.8377452],7620,306051,128222
235,[04:56:20.9878396],4934,241179,87798
236,[04:56:21.1379339],8937,271086,112852
237,[04:56:21.2880283],6623,352387,92251
238,[04:56:21.4381227],8044,245887,144994
239,[04:56:21.5882171],1981,283319,79215
240,[04:56:21.7383115],6934,377841,156548
241,[04:56:21.8884059],14735,324044,91941
242,[04:56:22.0385002],4542,230802,118289
243,[04:56:22.1885946],11886,273481,105429
244,[04:56:22.3386890],5020,249495,108690
245,[04:56:22.4887834],1504,249922,75604
246,[04:56:22.6388778],9770,280238,85714
247,[04:56:22.7889722],7857,338666,110307
248,[04:56:22.9390666],9198,244849,107009
249,[04:56:23.0891610],6662,294728,73455
250,[04:56:23.2392554],8005,229856,99803
251,[04:56:23.3893498],9432,289014,89297
252,[04:56:23.5394442],8917,348792,73966
253,[04:56:23.6895386],10721,275509,101439
254,[04:56:23.8396330],11394,322486,83681
255,[04:56:23.9897275],4356,315413,146888
256,[04:56:24.1398218],6912,316306,92018
257,[04:56:24.2899162],5416,329811,99707
258,[04:56:24.4400106],7008,255398,126017
259,[04:56:24.5901050],9139,261117,133088
260,[04:56:24.7401994],7813,348601,128653
261,[04:56:24.8902938],8615,359177,112851
262,[04:56:25.0403881],10870,255568,114616
263,[04:56:25.1904825],4835,297820,112851
264,[04:56:25.3405769],3253,293273,100926
265,[04:56:25.4906713],12006,213427,83102
266,[04:56:25.6407657],4101,278870,161528
267,[04:56:25.7908601],4060,307696,103708
268,[04:56:25.9409545],12083,300697,107297
269,[04:56:26.0910489],11865,255671,88707
270,[04:56:26.2411433],7437,304315,119499
271,[04:56:26.3912377],8017,332881,102128
272,[04:56:26.5413321],8461,309009,128773
273,[04:56:26.6914265],9829,336384,109696
274,[04:56:26.8415209],8615,270701,140595
275,[04:56:26.9916153],9074,338121,134283
276,[04:56:27.1417096],7654,322640,140342
277,[04:56:27.2918040],8729,285914,84950
278,[04:56:27.4418984],12055,364722,96320
279,[04:56:27.5919928],8288,292694,110751
280,[04:56:27.7420872],1126,339234,115159
281,[04:56:27.8921816],9911,272545,91436
282,[04:56:28.0422759],9023,376734,93860
283,[04:56:28.1923703],13254,246740,84002
284,[04:56:28.3424647],9890,263218,118772
285,[04:56:28.4925591],14355,329550,116262
286,[04:56:28.6426535],10658,326286,119997
287,[04:56:28.7927479],9538,269678,104014
288,[04:56:28.9428423],9606,346669,119773
289,[04:56:29.0929367],7721,259507,136640
290,[04:56:29.2430311],12733,344290,146933
291,[04:56:29.3931255],10556,341211,100727
292,[04:56:29.5432199],5760,314177,140043
293,[04:56:29.6933144],6226,272271,88651
294,[04:56:29.8434088],8650,315516,113146
295,[04:56:29.9935032],4558,337780,137252
296,[04:56:30.1435975],4315,313626,98740
297,[04:56:30.2936919],8026,282704,111295
298,[04:56:30.4437863],4719,391850,86735
299,[04:56:30.5938807],5137,293571,129295
300,[04:56:30.7439751],1093,204191,112827
301,[04:56:30.8940695],7460,319022,136617
302,[04:56:31.0441638],5268,236613,117863
303,[04:56:31.1942582],7812,342875,144590
304,[04:56:31.3443526],11086,298997,107493
305,[04:56:31.4944470],9655,264581,112273
306,[04:56:31.6445414],11171,343646,119616
307,[04:56:31.7946358],8242,309641,126197
308,[04:56:31.9447302],5932,312245,150995
309,[04:56:32.0948245],6558,239402,122840
310,[04:56:32.2449189],5780,329482,128343
311,[04:56:32.3950133],5569,341077,110111
312,[04:56:32.5451077],13326,275138,114026
313,[04:56:32.6952021],4288,321476,168718
314,[04:56:32.8452965],2747,300427,110915
315,[04:56:32.9953909],7934,374010,110816
316,[04:56:33.1454853],6649,307244,95349
317,[04:56:33.2955797],14783,289860,96605
318,[04:56:33.4456741],1917,266978,109279
319,[04:56:33.5957685],2926,301619,113631
320,[04:56:33.7458629],9718,308006,106795
321,[04:56:33.8959573],8817,298620,82159
322,[04:56:34.0460516],8417,314547,112684
323,[04:56:34.1961460],7765,302566,90777
324,[04:56:34.3462404],5639,307229,136414
325,[04:56:34.4963348],7411,273665,110477
326,[04:56:34.6464292],11310,314040,109304
327,[04:56:34.7965236],10237,252580,121861
328,[04:56:34.9466180],12385,299619,122274
329,[04:56:35.0967123],3471,338605,121957
330,[04:56:35.2468067],7681,359324,130573
331,[04:56:35.3969011],14211,280555,152917
332,[04:56:35.5469955],5787,314821,130705
333,[04:56:35.6970900],10260,337944,153349
334,[04:56:35.8471844],8548,364978,103348
335,[04:56:35.9972788],5489,330433,124247
336,[04:56:36.1473732],7302,342696,95716
337,[04:56:36.2974676],9379,407167,110999
338,[04:56:36.4475620],4364,332224,131534
339,[04:56:36.5976564],5174,263910,143579
340,[04:56:36.7477508],10612,359972,100044
341,[04:56:36.8978452],4743,288182,140283
342,[04:56:37.0479395],7722,279371,142281
343,[04:56:37.1980339],6716,259395,116450
344,[04:56:37.3481283],4361,392834,128476
345,[04:56:37.4982227],8289,307901,107478
346,[04:56:37.6483171],4031,336930,135746
347,[04:56:37.7984115],3951,291449,144042
348,[04:56:37.9485059],8025,307076,141945
349,[04:56:38.0986002],9820,280912,106074
350,[04:56:38.2486946],5415,381597,89311
351,[04:56:38.3987890],10919,323346,77372
352,[04:56:38.5488834],10019,334646,105248
353,[04:56:38.6989778],9912,425712,107632
354,[04:56:38.8490722],8086,297464,119386
355,[04:56:38.9991666],4449,259270,74790
356,[04:56:39.1492609],1902,346068,104677
357,[04:56:39.2993553],6382,304595,102857
358,[04:56:39.4494497],8923,258994,95565
359,[04:56:39.5995441],9975,250451,123949
360,[04:56:39.7496385],3882,412221,99150
361,[04:56:39.8997329],4114,272884,102922
362,[04:56:40.0498273],8887,234112,94731
363,[04:56:40.1999217],2242,294146,131305
364,[04:56:40.3500161],9184,261474,118724
365,[04:56:40.5001106],7710,332972,165409
366,[04:56:40.6502050],5182,305092,138360
367,[04:56:40.8002994],10783,353361,87840
368,[04:56:40.9503938],12296,392169,120463
369,[04:56:41.1004881],8945,354405,163774
370,[04:56:41.2505825],8940,286752,121868
371,[04:56:41.4006769],6910,231280,131424
372,[04:56:41.5507713],5914,332799,85556
373,[04:56:41.7008657],7339,325405,126501
374,[04:56:41.8509601],9718,367614,99113
375,[04:56:42.0010544],7603,314991,124247
376,[04:56:42.1511488],7919,230771,120958
377,[04:56:42.3012432],8892,365514,124198
378,[04:56:42.4513376],6651,326101,129053
379,[04:56:42.6014320],4606,323582,125934
