Predicted duration,1.3,,,
Predicted error,0.6,,,
Predicted start,02:16:08,,,
Notes,starts from frame 1 and first ~100 frames are 'dropped frames'. incorrect data because the cpu was overloaded,,,
FrameNum,timeInfo,signal-target,signal-track1
211,[02:15:53.8009929],11165,526540
212,[02:15:53.8513112],8712,554814
213,[02:15:53.9016779],11391,522026
214,[02:15:53.9518809],11409,551175
215,[02:15:54.0015499],9983,552423
216,[02:15:54.0516397],10929,513438
217,[02:15:54.1018614],10619,533248
218,[02:15:54.1518967],12745,554813
219,[02:15:54.2028728],10848,548144
220,[02:15:54.2531476],12215,545561
221,[02:15:54.3024430],13466,520254
222,[02:15:54.3521406],12432,539035
223,[02:15:54.4023057],10636,541238
224,[02:15:54.4528413],12042,573222
225,[02:15:54.5023475],10600,526492
226,[02:15:54.5529681],10345,535769
227,[02:15:54.6023704],13269,543278
228,[02:15:54.6526267],10783,527916
229,[02:15:54.7043757],10939,571692
230,[02:15:54.7538406],11962,526766
231,[02:15:54.8035303],12036,548609
232,[02:15:54.8528963],14086,559343
233,[02:15:54.9031865],12190,522528
234,[02:15:54.9550567],13223,518627
235,[02:15:55.0048114],12319,487470
236,[02:15:55.0538728],11804,556455
237,[02:15:55.1040050],12957,549606
238,[02:15:55.1532164],11795,550303
239,[02:15:55.2049646],11812,569861
240,[02:15:55.2548080],10696,537837
241,[02:15:55.3038648],12842,550264
242,[02:15:55.3542379],14222,563451
243,[02:15:55.4044756],13744,555396
244,[02:15:55.4545444],13301,531799
245,[02:15:55.5050666],12496,517593
246,[02:15:55.5554043],11976,523861
247,[02:15:55.6054127],11890,511883
248,[02:15:55.6549898],13313,531327
249,[02:15:55.7061722],11636,515902
250,[02:15:55.7555787],13041,537114
251,[02:15:55.8058310],15565,550162
252,[02:15:55.8550495],14985,564817
253,[02:15:55.9055136],14155,551981
254,[02:15:55.9560517],14258,543218
255,[02:15:56.0060865],11549,543287
256,[02:15:56.0556080],11771,548982
257,[02:15:56.1057179],12980,544800
258,[02:15:56.1554705],10989,540795
259,[02:15:56.2055952],12482,558409
260,[02:15:56.2565057],11006,543549
261,[02:15:56.3066728],10925,547421
262,[02:15:56.3561031],12483,518247
263,[02:15:56.4132680],12057,532468
264,[02:15:56.4573669],10706,571458
265,[02:15:56.5068393],13370,551675
266,[02:15:56.5589070],13260,534497
267,[02:15:56.6066195],13617,494410
268,[02:15:56.6564756],13224,538851
269,[02:15:56.7071506],15377,555309
270,[02:15:56.7578425],11996,530642
271,[02:15:56.8075976],11750,533021
272,[02:15:56.8562317],13698,543517
273,[02:15:56.9061966],12161,522161
274,[02:15:56.9564665],13908,577879
275,[02:15:57.0060105],11081,562619
276,[02:15:57.0565920],14262,540485
277,[02:15:57.1065173],15482,559224
278,[02:15:57.1564574],13498,534395
279,[02:15:57.2069076],12469,535810
280,[02:15:57.2564855],13902,566358
281,[02:15:57.3069320],11534,546467
282,[02:15:57.3567109],12605,557716
283,[02:15:57.4068335],11960,540557
284,[02:15:57.4572916],13842,551629
285,[02:15:57.5074341],13970,550839
286,[02:15:57.5574993],15131,561933
287,[02:15:57.6069302],11868,549753
288,[02:15:57.6572222],10945,571881
289,[02:15:57.7075593],14887,555237
290,[02:15:57.7584033],13341,552301
291,[02:15:57.8073415],13080,546630
292,[02:15:57.8579317],12021,552317
293,[02:15:57.9073345],14474,519441
294,[02:15:57.9585486],12281,520664
295,[02:15:58.0081616],12901,557887
296,[02:15:58.0579451],10476,536500
297,[02:15:58.1077428],12734,557233
298,[02:15:58.1579011],12905,543672
299,[02:15:58.2093557],12729,542060
300,[02:15:58.2590770],14128,558032
301,[02:15:58.3082192],12333,555734
302,[02:15:58.3580647],13065,557090
303,[02:15:58.4081193],11842,563495
304,[02:15:58.4586383],13126,564442
305,[02:15:58.5094005],11031,556108
306,[02:15:58.5584844],12156,583538
307,[02:15:58.6084669],11570,511567
308,[02:15:58.6596658],10263,517846
309,[02:15:58.7105800],9455,530241
310,[02:15:58.7599947],10106,526736
311,[02:15:58.8094444],10704,579532
312,[02:15:58.8600095],8393,561545
313,[02:15:58.9099329],11659,555728
314,[02:15:58.9602048],11436,541917
315,[02:15:59.0111006],9646,516189
316,[02:15:59.0659807],10599,513817
317,[02:15:59.1118437],8059,544472
318,[02:15:59.1627440],8681,532410
319,[02:15:59.2105458],11341,571206
320,[02:15:59.2609108],11289,574983
321,[02:15:59.3149930],11766,556094
322,[02:15:59.3615880],11667,521050
323,[02:15:59.4106288],10261,515002
324,[02:15:59.4612678],11863,565601
325,[02:15:59.5122221],13054,571870
326,[02:15:59.5608781],13081,517878
327,[02:15:59.6122823],12180,532178
328,[02:15:59.6615908],12684,546816
329,[02:15:59.7116446],12583,537128
330,[02:15:59.7622587],12339,550225
331,[02:15:59.8133677],11698,549811
332,[02:15:59.8612120],11637,566113
333,[02:15:59.9126824],12851,570005
334,[02:15:59.9619223],11716,555038
335,[02:16:00.0147405],14354,567498
336,[02:16:00.0633012],11949,558208
