Predicted duration,0.52,,,
Predicted error,0.2,,,
Predicted start,00:22:05,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1
227,[00:21:56.5220246],38692,371130
228,[00:21:56.5725113],38986,365246
229,[00:21:56.6225117],39171,372498
230,[00:21:56.6724465],37284,360720
231,[00:21:56.7224576],39456,373221
232,[00:21:56.7724334],37405,360546
233,[00:21:56.8233644],40264,360187
234,[00:21:56.8746254],38036,367955
235,[00:21:56.9226701],40735,363229
236,[00:21:56.9720507],44402,364195
237,[00:21:57.0227043],37686,356795
238,[00:21:57.0729696],38100,353643
239,[00:21:57.1237252],40425,365696
240,[00:21:57.1752335],38604,350466
241,[00:21:57.2247297],40723,376217
242,[00:21:57.2744010],38616,370312
243,[00:21:57.3237249],38643,339993
244,[00:21:57.3740385],37886,357972
245,[00:21:57.4237127],39356,362000
246,[00:21:57.4734401],40778,374496
247,[00:21:57.5237395],38260,362935
248,[00:21:57.5737058],40260,354452
249,[00:21:57.6234618],42383,381985
250,[00:21:57.6734140],38904,372779
251,[00:21:57.7230091],36667,376290
252,[00:21:57.7732013],37592,376390
253,[00:21:57.8240970],43697,366086
254,[00:21:57.8730534],40864,357795
255,[00:21:57.9233503],37026,353728
256,[00:21:57.9733975],35591,375693
257,[00:21:58.0232932],34201,379095
258,[00:21:58.0736553],34379,367829
259,[00:21:58.1233124],40320,362528
260,[00:21:58.1749099],38324,353744
261,[00:21:58.2262255],37476,351768
262,[00:21:58.2761151],39506,364565
263,[00:21:58.3246742],37461,362361
264,[00:21:58.3737276],40553,354017
265,[00:21:58.4239665],38394,359126
266,[00:21:58.4738878],36055,351381
267,[00:21:58.5247849],38703,369380
268,[00:21:58.5753859],35662,364895
269,[00:21:58.6257007],35157,356559
270,[00:21:58.6772131],36885,374451
271,[00:21:58.7251867],39112,365086
272,[00:21:58.7743972],37333,387069
273,[00:21:58.8247828],38212,359152
274,[00:21:58.8751236],33672,360939
275,[00:21:58.9250718],33370,375386
276,[00:21:58.9749724],37634,343105
277,[00:21:59.0251300],33363,367150
278,[00:21:59.0786765],39422,356532
279,[00:21:59.1290639],37161,356729
280,[00:21:59.1768741],37366,352111
281,[00:21:59.2269303],36430,349821
282,[00:21:59.2761641],37850,341324
283,[00:21:59.3252904],35351,345896
284,[00:21:59.3752474],39941,360477
285,[00:21:59.4264520],39310,364522
286,[00:21:59.4760623],40369,361550
287,[00:21:59.5257720],40512,346892
288,[00:21:59.5758527],36018,371573
289,[00:21:59.6262552],38732,375173
290,[00:21:59.6768384],39201,348410
291,[00:21:59.7257897],40072,360430
292,[00:21:59.7760836],40898,381223
293,[00:21:59.8264361],35084,375342
294,[00:21:59.8769073],36629,344643
295,[00:21:59.9271944],35599,358089
296,[00:21:59.9772580],36963,357438
297,[00:22:00.0283438],36052,370925
298,[00:22:00.0772808],37323,354595
299,[00:22:00.1276962],36813,367798
300,[00:22:00.1775796],34621,394549
301,[00:22:00.2277080],33495,379704
302,[00:22:00.2777462],36910,385815
303,[00:22:00.3279817],43997,373675
304,[00:22:00.3776700],40417,353794
305,[00:22:00.4274852],37659,376287
306,[00:22:00.4778093],36782,360947
307,[00:22:00.5277050],39079,362130
308,[00:22:00.5781413],37318,381172
309,[00:22:00.6280126],42293,372106
310,[00:22:00.6780732],45327,368654
311,[00:22:00.7301414],39594,364776
312,[00:22:00.7790334],40149,377558
313,[00:22:00.8289614],38496,390567
314,[00:22:00.8787356],40361,363675
315,[00:22:00.9290127],41776,381718
316,[00:22:00.9788059],39874,350456
317,[00:22:01.0285963],40245,373997
318,[00:22:01.0789609],35945,373583
319,[00:22:01.1288887],36435,376965
320,[00:22:01.1789662],40927,374999
321,[00:22:01.2285731],40149,365919
322,[00:22:01.2783895],36826,366585
323,[00:22:01.3284616],37634,377755
324,[00:22:01.3791732],40190,392985
325,[00:22:01.4288930],36754,380204
326,[00:22:01.4786979],40890,364684
327,[00:22:01.5287310],36990,356493
328,[00:22:01.5788502],41004,359913
329,[00:22:01.6291115],38379,368829
330,[00:22:01.6795434],38286,382666
331,[00:22:01.7295963],38812,360430
332,[00:22:01.7798296],32287,373814
333,[00:22:01.8296304],36164,380625
334,[00:22:01.8792681],35814,372379
335,[00:22:01.9295363],39111,361780
336,[00:22:01.9799885],41116,372435
337,[00:22:02.0298130],40673,363455
338,[00:22:02.0793217],42000,361974
339,[00:22:02.1298808],36428,352509
340,[00:22:02.1800215],38866,354809
341,[00:22:02.2297824],37570,361139
342,[00:22:02.2802279],37812,350027
343,[00:22:02.3304177],38581,382726
344,[00:22:02.3798925],37889,339201
345,[00:22:02.4300391],40107,362896
346,[00:22:02.4804844],39394,359892
347,[00:22:02.5311163],35954,379726
348,[00:22:02.5801316],40490,366594
349,[00:22:02.6306728],36646,363115
350,[00:22:02.6811779],39226,360934
351,[00:22:02.7312661],38400,370415
352,[00:22:02.7816239],38461,368152
353,[00:22:02.8306597],38952,357991
354,[00:22:02.8807142],39814,362919
355,[00:22:02.9308030],41214,358395
356,[00:22:02.9823157],36944,346405
357,[00:22:03.0310132],38911,350992
358,[00:22:03.0817944],37594,349184
359,[00:22:03.1316540],36986,362639
360,[00:22:03.1821354],36937,365766
361,[00:22:03.2320986],39307,352961
362,[00:22:03.2813130],38635,364287
363,[00:22:03.3321666],38579,355817
364,[00:22:03.3814544],37558,355505
365,[00:22:03.4316933],38969,357462
366,[00:22:03.4826558],39738,347156
367,[00:22:03.5326448],36959,349875
368,[00:22:03.5828137],40358,328433
369,[00:22:03.6329336],37167,349253
370,[00:22:03.6828652],40007,362930
371,[00:22:03.7331960],39628,344978
