Predicted duration,22.4,,,
Predicted error,0.7,,,
Predicted start,03:56:57,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
220,[03:56:32.3216207],15429,43377,5804
221,[03:56:32.3417288],15723,45789,6951
222,[03:56:32.3619238],17238,44441,7139
223,[03:56:32.3818660],17742,43714,6545
224,[03:56:32.4019893],16182,52596,7372
225,[03:56:32.4220946],16639,51160,6844
226,[03:56:32.4421136],15045,47669,6586
227,[03:56:32.4621527],15514,49830,7169
228,[03:56:32.4822605],14198,46554,5527
229,[03:56:32.5023216],15366,45578,4107
230,[03:56:32.5223364],15406,46206,5811
231,[03:56:32.5424898],15783,47108,3377
232,[03:56:32.5627335],16080,52005,4778
233,[03:56:32.5826375],14666,46990,5136
234,[03:56:32.6027572],15343,46655,7502
235,[03:56:32.6228195],12700,46730,7213
236,[03:56:32.6428952],12579,47584,2731
237,[03:56:32.6629845],16730,49435,5504
238,[03:56:32.6831932],15379,47744,6822
239,[03:56:32.7030865],15125,46570,6256
240,[03:56:32.7232488],14995,46583,6702
241,[03:56:32.7432553],16594,48784,5121
242,[03:56:32.7635774],16049,47241,4830
243,[03:56:32.7835664],14806,47871,5013
244,[03:56:32.8036039],17746,45284,5578
245,[03:56:32.8237329],16420,45694,8043
246,[03:56:32.8437169],16137,47092,7082
247,[03:56:32.8637700],17597,47768,6873
248,[03:56:32.8838158],14353,45410,6482
249,[03:56:32.9039823],16727,44542,7786
250,[03:56:32.9240515],14533,45717,7915
251,[03:56:32.9440474],14466,49158,5993
252,[03:56:32.9649202],15424,49682,5101
253,[03:56:32.9842870],15057,48733,5215
254,[03:56:33.0043511],12602,46088,5886
255,[03:56:33.0244249],16459,48658,3858
256,[03:56:33.0444967],14662,45110,7157
257,[03:56:33.0648745],18071,43014,5537
258,[03:56:33.0847674],15651,45955,7075
259,[03:56:33.1047730],16953,44219,5634
260,[03:56:33.1248962],16541,47575,4383
261,[03:56:33.1448217],16983,47895,5179
262,[03:56:33.1650227],16462,49073,5123
263,[03:56:33.1849706],14390,47301,3953
264,[03:56:33.2051008],16391,44909,4479
265,[03:56:33.2252491],15680,44238,3652
266,[03:56:33.2452851],17211,47501,5569
267,[03:56:33.2654085],17002,48580,3612
268,[03:56:33.2854835],15107,46841,3749
269,[03:56:33.3055473],16422,51709,5283
270,[03:56:33.3256358],14356,49216,6076
271,[03:56:33.3457650],16811,43061,6447
272,[03:56:33.3657539],15428,44324,5287
273,[03:56:33.3856862],15280,45154,4503
274,[03:56:33.4059787],15881,46227,3747
