Predicted duration,0.9,,,
Predicted error,0.5,,,
Predicted start,03:47:06,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
197,[03:46:56.9942258],12274,70098,27185
198,[03:46:57.1444804],10346,66954,29826
199,[03:46:57.2942933],12419,68556,29305
200,[03:46:57.4444798],11878,68365,28152
201,[03:46:57.5947057],12284,70706,29758
202,[03:46:57.7445394],10991,67670,28684
203,[03:46:57.8945860],12185,69796,25510
204,[03:46:58.0450300],9982,66400,30135
205,[03:46:58.1949875],10634,67182,29119
206,[03:46:58.3454859],11767,68476,28039
207,[03:46:58.4949831],11559,69949,25690
208,[03:46:58.6451107],11830,65257,27154
209,[03:46:58.7950673],12307,69414,27870
210,[03:46:58.9453252],11188,68287,29264
211,[03:46:59.0954932],11049,66472,28350
212,[03:46:59.2453850],12584,65885,25872
213,[03:46:59.3956780],12029,69929,27100
214,[03:46:59.5455244],12201,68912,28480
215,[03:46:59.6957504],12617,68206,28011
216,[03:46:59.8460370],12176,67009,29852
217,[03:46:59.9957392],12839,69480,30103
218,[03:47:00.1462134],12580,68259,29489
219,[03:47:00.2960685],11961,70741,29970
220,[03:47:00.4461416],12229,71979,28193
221,[03:47:00.5964876],11833,70608,28537
222,[03:47:00.7463194],11252,69103,30170
223,[03:47:00.8966166],11611,70748,28589
224,[03:47:01.0463000],12163,72025,28942
225,[03:47:01.1963911],12207,66299,27904
226,[03:47:01.3466908],12203,68250,28036
227,[03:47:01.4965657],11443,69045,29796
228,[03:47:01.6471401],10513,71181,29703
229,[03:47:01.7967771],11763,67048,27436
230,[03:47:01.9469131],12046,71417,28517
231,[03:47:02.0972275],11975,71389,26648
232,[03:47:02.2469243],12537,70289,28215
233,[03:47:02.3971047],12656,69820,29554
234,[03:47:02.5473171],14197,71164,27116
235,[03:47:02.6972080],11176,70427,28584
236,[03:47:02.8473980],13215,71508,29371
237,[03:47:02.9973679],11850,71133,28755
238,[03:47:03.1473542],11720,70981,28048
239,[03:47:03.2975332],11796,69714,27015
240,[03:47:03.4479466],11699,71552,28081
241,[03:47:03.5977919],10985,70500,29690
242,[03:47:03.7477914],11898,68877,29282
243,[03:47:03.8978072],9811,70877,27404
